RoleAction
Microsoft.AAD/domainServices/delete
Microsoft.AAD/domainServices/oucontainer/delete
Microsoft.AAD/domainServices/oucontainer/write
Microsoft.AAD/domainServices/providers/Microsoft.Insights/diagnosticSettings/write
Microsoft.AAD/domainServices/write
Microsoft.AAD/register/action
Microsoft.AAD/unregister/action
microsoft.aadiam/azureADMetrics/delete
microsoft.aadiam/azureADMetrics/providers/Microsoft.Insights/diagnosticSettings/write
microsoft.aadiam/azureADMetrics/write
microsoft.aadiam/diagnosticsettings/delete
microsoft.aadiam/diagnosticsettings/write
microsoft.aadiam/privateLinkForAzureAD/delete
microsoft.aadiam/privateLinkForAzureAD/privateEndpointConnectionProxies/delete
microsoft.aadiam/privateLinkForAzureAD/privateEndpointConnectionProxies/validate/action
microsoft.aadiam/privateLinkForAzureAD/privateEndpointConnections/delete
microsoft.aadiam/privateLinkForAzureAD/privateEndpointConnections/write
microsoft.aadiam/privateLinkForAzureAD/privateEndpointConnectionsApproval/action
microsoft.aadiam/privateLinkForAzureAD/privateLinkResources/delete
microsoft.aadiam/privateLinkForAzureAD/privateLinkResources/write
microsoft.aadiam/privateLinkForAzureAD/write
microsoft.aadiam/tenants/providers/Microsoft.Insights/diagnosticSettings/write
Microsoft.ApiManagement/service/apis/operations/policies/delete
Microsoft.ApiManagement/service/apis/operations/policies/write
Microsoft.ApiManagement/service/apis/policies/delete
Microsoft.ApiManagement/service/apis/policies/write
Microsoft.ApiManagement/service/apis/resolvers/policies/delete
Microsoft.ApiManagement/service/apis/resolvers/policies/write
Microsoft.ApiManagement/service/authorizationProviders/authorizations/confirmConsentCode/action
Microsoft.ApiManagement/service/authorizationProviders/authorizations/delete
Microsoft.ApiManagement/service/authorizationProviders/authorizations/getLoginLinks/action
Microsoft.ApiManagement/service/authorizationProviders/authorizations/permission/delete
Microsoft.ApiManagement/service/authorizationProviders/authorizations/permission/write
Microsoft.ApiManagement/service/authorizationProviders/delete
Microsoft.ApiManagement/service/authorizationProviders/write
Microsoft.ApiManagement/service/authorizationServers/delete
Microsoft.ApiManagement/service/authorizationServers/listSecrets/action
Microsoft.ApiManagement/service/authorizationServers/write
Microsoft.ApiManagement/service/backends/delete
Microsoft.ApiManagement/service/backends/reconnect/action
Microsoft.ApiManagement/service/backends/write
Microsoft.ApiManagement/service/backup/action
Microsoft.ApiManagement/service/certificates/delete
Microsoft.ApiManagement/service/certificates/refreshSecret/action
Microsoft.ApiManagement/service/certificates/write
Microsoft.ApiManagement/service/gateways/certificateAuthorities/delete
Microsoft.ApiManagement/service/gateways/certificateAuthorities/write
Microsoft.ApiManagement/service/gateways/delete
Microsoft.ApiManagement/service/gateways/generateToken/action
Microsoft.ApiManagement/service/gateways/getConfiguration/action
Microsoft.ApiManagement/service/gateways/hostnameConfigurations/delete
Microsoft.ApiManagement/service/gateways/hostnameConfigurations/write
Microsoft.ApiManagement/service/gateways/invalidateDebugCredentials/action
Microsoft.ApiManagement/service/gateways/keys/action
